fp_description,label_multiclass
"마곡 시험망에서 사용하는 국번(2233, 8333, 8303, 3998)과 시뮬레이터에서 사용하는 Call 데이터로 상용 데이터는 없는 것으로 확인 하였으며, 장비의 DB 리플리케이션 로그는 시험 간 지속 발생하기 때문에 예외요청",FP-더미테스트
테스트 데이터(삭제 완료),FP-더미테스트
오탐: 예외요청 - 테스트 자동화 프레임워크인 Pytest가 테스트 실행 중 생성하는 캐시 파일에 해당. 테스트 스크립트 내부에 정의된 테스트 케이스 식별자(test node IDs)를 저장하기 위한 용도로 사용됨,FP-더미테스트
오탐 (개인정보와 관련 없는 web.mip 소스) / 오탐 (테스트 케이스 소스),FP-더미테스트
Migration 데이터로 삭제 조치 완료,FP-더미테스트
삭제조치 (성능시험 용도) / 성능시험 용도의 임의 데이터,FP-더미테스트
테스트용 데이터 / 불필요파일로 삭제조치함,FP-더미테스트
"테스트용데이터이나, 불필요파일로 삭제조치함",FP-더미테스트
삭제조치(샘플데이터파일),FP-더미테스트
스팸 위험도 학습용 전송 데이터. 삭제 완료,FP-더미테스트
테스트 파일,FP-더미테스트
"temp성 파일로, 주민등록 번호아님. 현재 삭제되어 파일 확인 불가",FP-더미테스트
테스트데이터,FP-더미테스트
성능결과,FP-더미테스트
성능시험 결과,FP-더미테스트
"1) 해당 서버는 검수망 서버입니다 2) 예시의 9640은 테스트를 위한 임직원(김주홍님) 번호이며, 개인정보보호를 위해 FROM, CTN 등의 정보는 주기적으로 삭제하는것으로 확인했습니다. 3) 확인 차, 명시된 파일에서 조회 시 CTN 정보가 확인되지는 않았습니다. 4) 이외 다른 이슈가 있다면, 말씀주시면 해당 파일 삭제 진행토록 하겠습니다.",FP-더미테스트
"1) 해당 서버는 검수망 서버입니다 2) 개인정보보호를 위해 서버에서 FROM, CTN 등의 정보는 주기적으로 삭제하는것으로 확인했습니다. 3) 확인 차, 명시된 파일에서 조회 시 CTN 정보가 확인되지는 않았습니다. 4) 이외 다른 이슈가 있다면, 말씀주시면 해당 파일 삭제 진행토록 하겠습니다.",FP-더미테스트
서비스 기능확인용 dummy data,FP-더미테스트
"분석용임시파일,예외요청",FP-더미테스트
"분석용임시파일,삭제완료",FP-더미테스트
데이터보안팀 1차 판단 -> 담당자확인 : 서비스 기능확인용 dummy data,FP-더미테스트
서비스에서 Office 문서를 처리하는 과정에서 생성되는 임시 파일 처리 이후 자동 삭제,FP-더미테스트
해당 건 시스템 패치 시 입력한 샘플데이터로 개인정보 아님,FP-더미테스트
Oracle 샘플 데이터,FP-라이브러리
리눅스 기본 파일,FP-라이브러리
시뮬레이터 설치 파일,FP-라이브러리
데이터보안팀 1차 판단 -> 담당자 확인 내용(OS 설치시 사용한 라이브러리 파일 일부),FP-라이브러리
"Repository metadata 로 리눅스 패키지 정보, 공급자 정보 등을 파악하는데 사용되는 데이터로 개인정보 없음",FP-라이브러리
오라클 DB 설치시에 같이 설치된 샘플 파일,FP-라이브러리
oracle 샘플 DB 정보,FP-라이브러리
GCP 사용으로 삭제불가,FP-라이브러리
/media/rhel88/BaseOS/repodata/e9094766c1d214eacdbcebec97483e3ff34d61cc96ff499112b82f5fed82e1f60-other.xml 경로에 파일 존재해서 삭제함,FP-라이브러리
리눅스 local 레포지터리,FP-라이브러리
해당 내용은 펌웨어의 저작권과 라이선스가 명시되어 있는 것으로 삭제 불가,FP-라이브러리
"오탐 예외요청 사유: Conda 환경에서 패키지의 버전, 의존성, 파일 목록 등을 관리하기 위한 메타데이터(설정 정보) 파일에 해당",FP-라이브러리
오라클 제공 Jar 파일,FP-라이브러리
Google Cloud SDK 설치 시 생성되는 파일,FP-라이브러리
IBM DataStage(ETL) 설치 파일의 데이터 프라이버시(마스킹) 기본 제공되는 sample 파일/삭제조치,FP-라이브러리
Maria 관련 설치필요파일,FP-라이브러리
HPUX 패치 파일,FP-라이브러리
"Application 설치 파일이며, 개인정보 존재하지않음. DCAP 장비는 개인정보를 수집하지 않습니다.",FP-라이브러리
rpm 패키지 예외처리,FP-라이브러리
"python 패키지 매니저 JSON파일, 주민등록번호 x",FP-라이브러리
"외국인 등록번호가 아닌 패키지 라이선스, 무결성 확인을 위한 고유 식별값",FP-라이브러리
언어별 번역 파일 cns(개인정보 X),FP-라이브러리
python 패키지 매니저 JOSN 파일(개인정보 X),FP-라이브러리
"오탐 예외요청 사유 : Prometheus 관련 Helm Chart의 목록을 기술한 Helm 저장소 인덱스 파일로 YAML 메타데이터, 버전, 패키지 위치 정보를 포함",FP-라이브러리
패키지 이름이 잘못 감지됨,FP-라이브러리
RHEL 개발자(OS개발자) e-mail (OS기본세팅),FP-라이브러리
OS내에 패키지 설치를 위한 repo 파일 / OS yum repository metadata의 일부로 삭제 불가,FP-라이브러리
RPM 패키지 관련 메타데이터,FP-라이브러리
오탐: docker 이미지(jenkins) 파일 (개인정보 아님),FP-라이브러리
라이브러리 관련 파일,FP-라이브러리
OS패키지 변경이력 파일,FP-라이브러리
"OS 영역, 개인정보 아님",FP-라이브러리
OS 설치파일 / Linux 설치 시 함께 설치되는 파일임,FP-라이브러리
데비안 시스템 관리 패키지 예외처리,FP-라이브러리
도커 컨테이너 이미지 및 레이어 저장을 위해 자동 생성되는 파일,FP-라이브러리
오탐: docker 이미지(airflow) 파일 (개인정보 아님),FP-라이브러리
"오탐 : 예외요청 (MLOps기술팀) - 사유 : 라이브러리 관련된 변경 사항 기록을 담고 있는 파일. 해당 파일에는 소프트웨어 업데이트나 패치, 기능 추가, 버그 수정 사항 등이 압축된 텍스트 형태로 포함",FP-라이브러리
오탐: 예외요청 - pip 패키지 매니저가 패키지 설치 과정 중 생성한 HTTP 응답 캐시 파일에 해당. 공개 패키지의 바이너리 또는 메타정보가 저장됨,FP-라이브러리
"오탐: 예외요청 - 사유 : Google Cloud SDK의 일부로, gcloud 명령어와 관련된 설정이나 메타데이터 정보를 JSON 형식으로 포함하는 파일. gcloud CLI에서 사용하는 명령 옵션, 플래그, 최신 명령어 버전 등과 같은 정보를 담아 둔 백업 파일로, Google Cloud SDK의 특정 설정을 유지하기 위한 데이터 파일이며 컨테이너 환경에서 Google Cloud SDK를 설치 및 사용한 경우, 이 파일이 생성",FP-라이브러리
"오탐 예외요청 사유 : 라이브러리 관련된 변경 사항 기록을 담고 있는 파일. 소프트웨어 업데이트나 패치, 기능 추가, 버그 수정 사항 등이 압축된 텍스트 형태로 포함",FP-라이브러리
Linux PKG 내 데이터로 개인정보와는 무관함,FP-라이브러리
개발툴 npm 패키지 파일,FP-라이브러리
anaconda 캐시파일,FP-라이브러리
os 설치 시 사용한 라이브러리 파일,FP-라이브러리
설치 파일들로 데이터보안팀에서 동일한 판단 요청드림,FP-라이브러리
OS에서 사용하는 영역입니다. 개인정보 아님,FP-라이브러리
Telerik사 kendo UI라이브러리 스크립트,FP-라이브러리
npm의 패키지 정보 캐시 데이터,FP-라이브러리
npm 패키지 데이터,FP-라이브러리
Nexus Repository 데이터,FP-라이브러리
"오탐 예외요청: npm(노드 패키지 매니저)이 내부적으로 캐시나 설정 정보를 관리하기 위해 생성하는 패키지 캐시, 무결성 체크 파일, 또는 설정 캐시에 해당",FP-라이브러리
"오탐 예외요청: blobs/sha256 경로는 도커 이미지 표준 저장 방식으로, 해당 디렉토리 내 파일은 이미지 레이어, 메타데이터 등을 sha256 해시값으로 저장한 것에 해당",FP-라이브러리
오탐 예외요청 사유: AUTHORS.gz는 컨테이너 이미지에 설치된 패키지의 기여자 (AUTHOR) 파일 정보로 탐지 예외처리 요청드립니다,FP-라이브러리
npm 라이브러리 백업 파일,FP-라이브러리
도커에서 생성한 파일,FP-라이브러리
언어별 번역 파일,FP-라이브러리
NPM Node 타입스크립트 모듈 캐시,FP-라이브러리
INS를 위한 설치 파일로 예외처리 필요,FP-라이브러리
"오탐 예외요청 사유 : Conda 패키지 관리자가 패키지 다운로드 및 설치 시 사용하는 로컬 캐시 디렉토리로, 내부에는 패키지 바이너리, 메타데이터, 해시값(SHA) 등 시스템 캐시 데이터만 저장됨",FP-라이브러리
오탐: 예외요청 - APT 패키지 매니저의 저장소 메타데이터 파일. 패키지 목록 및 버전 정보가 포함됨,FP-라이브러리
"오탐: 예외요청 - 사유 : 라이브러리 관련된 변경 사항 기록을 담고 있는 파일. 해당 파일에는 소프트웨어 업데이트나 패치, 기능 추가, 버그 수정 사항 등이 압축된 텍스트 형태로 포함",FP-라이브러리
오탐: 예외요청 - 사유 : AUTHORS.gz는 컨테이너 이미지에 설치된 패키지의 기여자 (AUTHOR) 파일 정보로 탐지 예외처리 요청드립니다.,FP-라이브러리
오탐: 예외요청 - 도커 이미지 tar 파일에 해당. tar 파일 내 레이어 디렉토리 및 파일 이름이 해시값(SHA256 등)으로 구성되어 있음,FP-라이브러리
오탐: 예외요청 - 시스템의 RPM 패키지 관리 데이터베이스 파일. 설치된 패키지 정보가 저장됨,FP-라이브러리
"오탐: 예외요청 - 오픈소스 라이선스 고지(Third Party Notices) 파일로, 소스 코드 라이선스 정보만 포함",FP-라이브러리
"오탐: 예외요청 - locale 데이터 파일의 일부로, 중국어(번체) 문자 관련 정보를 포함하고 있음. 해당 파일은 특정 문자 집합과 그 입력 방법을 정의하고 있으며 라이브러리가 특정 로케일 데이터를 다루는 데 사용",FP-라이브러리
웹서버 설치 파일,FP-라이브러리
OS 설치용 라이브러리 파일,FP-라이브러리
"오탐: 예외요청 - blobs/sha256 경로는 도커 이미지 표준 저장 방식으로, 해당 디렉토리 내 파일은 이미지 레이어, 메타데이터 등을 sha256 해시값으로 저장한 것에 해당",FP-라이브러리
우분투 pkg 설치 파일로 개인정보 없음,FP-라이브러리
오탐: 설치된 패키지에 대한 리포지터리 메타데이터,FP-라이브러리
라이브러리,FP-라이브러리
관리 대상 아님-OS 관련,FP-라이브러리
OS 패키지 설치 파일,FP-라이브러리
오탐: 예외요청 - 사유 : changelog.Debian.gz 는 컨테이너 이미지에 설치된 패키지의 변경사항 기록 파일입니다. 탐지된 항목은 패키지 bug 제보자 및 응답자 문답 정보이므로 탐지 예외처리 요청드립니다.,FP-라이브러리
아나콘다 캐시파일,FP-라이브러리
서비스로그이며 주민번호 없음,FP-숫자패턴
